,Unnamed: 0,Time,Open,High,Low,Last,Change,%Chg,Volume,Classification
278,278,11/20/2017,258.14,258.525,257.86,258.3,0.44,+0.17%,48075500.0,True
279,279,11/17/2017,258.22,258.59,257.77,257.86,-0.76,-0.29%,75756800.0,False
280,280,11/16/2017,257.52,259.04,257.475,258.62,2.18,+0.85%,67777000.0,True
281,281,11/15/2017,256.62,257.22,255.63,256.44,-1.29,-0.50%,80811504.0,False
282,282,11/14/2017,257.41,257.85,256.52,257.73,-0.6,-0.23%,61315100.0,False
283,283,11/13/2017,257.31,258.59,257.27,258.33,0.24,+0.09%,50228600.0,True
284,284,11/10/2017,257.73,258.29,257.37,258.09,-0.08,-0.03%,59984600.0,False
285,285,11/09/2017,257.73,258.39,256.36,258.17,-0.94,-0.36%,95085504.0,False
286,286,11/08/2017,258.47,259.22,258.15,259.11,0.44,+0.17%,50469500.0,True
287,287,11/07/2017,258.97,259.35,258.09,258.67,-0.18,-0.07%,57502100.0,False
288,288,11/06/2017,258.3,259.0,258.22,258.85,0.4,+0.15%,49652500.0,True
289,289,11/03/2017,257.77,258.5,257.3,258.45,0.86,+0.33%,59589700.0,True
290,290,11/02/2017,257.41,257.75,256.19,257.59,0.1,+0.04%,56449500.0,True
291,291,11/01/2017,258.04,258.43,257.07,257.49,0.34,+0.13%,54202700.0,True
292,292,10/31/2017,257.18,257.44,256.805,257.15,0.4,+0.16%,60304700.0,True
293,293,10/30/2017,257.07,257.6,256.41,256.75,-0.96,-0.37%,54285600.0,False
294,294,10/27/2017,256.54,257.89,255.625,257.71,2.09,+0.82%,85562496.0,True
295,295,10/26/2017,255.99,256.3,255.48,255.62,0.33,+0.13%,69797904.0,True
296,296,10/25/2017,256.18,256.31,254.0,255.29,-1.27,-0.50%,103715200.0,False
297,297,10/24/2017,256.6,256.83,256.15,256.56,0.45,+0.18%,66935900.0,True
298,298,10/23/2017,257.48,257.51,256.02,256.11,-1.0,-0.39%,63915300.0,False
299,299,10/20/2017,256.7,257.14,255.77,257.11,1.32,+0.52%,89176304.0,True
300,300,10/19/2017,254.83,255.83,254.35,255.79,0.07,+0.03%,61903700.0,True
301,301,10/18/2017,255.9,255.95,255.5,255.72,0.25,+0.10%,40888300.0,True
302,302,10/17/2017,255.23,255.52,254.98,255.47,0.18,+0.07%,31560900.0,True
303,303,10/16/2017,255.21,255.51,254.82,255.29,0.34,+0.13%,38221600.0,True
304,304,10/13/2017,255.14,255.27,254.64,254.95,0.31,+0.12%,54800400.0,True
305,305,10/12/2017,254.66,255.06,254.365,254.64,-0.38,-0.15%,47065100.0,False
306,306,10/11/2017,254.51,255.02,254.32,255.02,0.4,+0.16%,47674300.0,True
307,307,10/10/2017,254.6,255.05,253.98,254.62,0.67,+0.26%,43057300.0,True
308,308,10/09/2017,254.63,254.7,253.65,253.95,-0.42,-0.17%,35803100.0,False
309,309,10/06/2017,254.15,254.7,253.85,254.37,-0.29,-0.11%,80645904.0,False
310,310,10/05/2017,253.54,254.68,253.2,254.66,1.5,+0.59%,63522700.0,True
311,311,10/04/2017,252.69,253.44,252.56,253.16,0.3,+0.12%,55953600.0,True
312,312,10/03/2017,252.46,252.89,252.23,252.86,0.54,+0.21%,66810100.0,True
313,313,10/02/2017,251.49,252.32,251.29,252.32,1.09,+0.43%,59022900.0,True
314,314,09/29/2017,250.34,251.32,250.13,251.23,0.88,+0.35%,85578000.0,True
315,315,09/28/2017,249.73,250.44,249.63,250.35,0.3,+0.12%,44778800.0,True
316,316,09/27/2017,249.88,250.49,248.87,250.05,0.97,+0.39%,81001400.0,True
317,317,09/26/2017,249.42,249.7,248.805,249.08,0.15,+0.06%,54081900.0,True
318,318,09/25/2017,249.15,249.55,248.08,248.93,-0.51,-0.20%,57064300.0,False
319,319,09/22/2017,249.05,249.63,249.02,249.44,0.05,+0.02%,51214000.0,True
320,320,09/21/2017,249.88,249.98,249.185,249.39,-0.67,-0.27%,48211300.0,False
321,321,09/20/2017,250.07,250.19,248.92,250.06,0.09,+0.04%,59574000.0,True
322,322,09/19/2017,250.0,250.07,249.6,249.97,0.25,+0.10%,47108100.0,True
323,323,09/18/2017,249.61,250.12,249.28,249.72,0.53,+0.21%,46235200.0,True
